一  yī
沱	tuó
泌	mì
泥	ní
河	hé
沽	gū
沾	zhān
沼	zhǎo
波	bō
沫	mò
法	fǎ
泓	hóng
沸	fèi
泄	xiè
油	yóu
况	kuàng
沮	jǔ
泗	sì
泅	qiú
泱	yāng
沿	yán
治	zhì
泡	pào
泛	fàn
泊	bó
沫	mèi
泯	mǐn
泜	zhī
泖	mǎo
泠	líng
炕	kàng
炎	yán
炒	chǎo
炊	chuī
炙	zhì
爬	pá
争	zhēng
爸	bà
版	bǎn
牧	mù
物	wù
状	zhuàng
狎	xiá
狙	jū
狗	gǒu
狐	hú
玩	wán
珏	jué
玟	wén
玫	méi
钥	yuè
甽	quǎn
疝	shàn
疙	gē
疚	jiù
的	de
盂	yú
盲	máng
直	zhí
知	zhī
硅	xì
社	shè
祀	sì
祁	qí
秉	bǐng
籼	xiān
空	kōng
穹	qióng
竺	zhú
纠	jiū
罔	wǎng
羌	qiāng
芈	miē
者	zhě
肺	fèi
肥	féi
肢	zhī
肱	gōng
股	gǔ
肫	zhūn
肩	jiān
肴	yáo
肪	fáng
肯	kěn
卧	wò
臾	yú
舍	shě
芳	fāng
芝	zhī
芙	fú
芭	bā
芽	yá
芟	shān
芹	qín
花	huā
芬	fēn
芥	jiè
芯	xīn
芸	yún
芣	fóu
芰	jì
芾	fèi
芷	zhǐ
虎	hǔ
虱	shī
初	chū
表	biǎo
轧	zhá
迎	yíng
返	fǎn
近	jìn
邵	shào
邸	dǐ
邱	qiū
邶	bèi
采	cǎi
金	jīn
长	cháng
门	mén
阜	fù
陀	tuó
阿	ā
阻	zǔ
附	fù
陂	pí
隹	zhuī
雨	yǔ
青	qīng
非	fēi
亟	jí
亭	tíng
亮	liàng
信	xìn
侵	qīn
侯	hóu
便	biàn
侠	xiá
俑	yǒng
俏	qiào
保	bǎo
促	cù
侣	lǚ
俘	fú
俟	sì
俊	jùn
俗	sú
侮	wǔ
俐	lì
俄	é
系	xì
俚	lǐ
俎	zǔ
俞	yú
局	jú
兖	yǎn
冒	mào
胄	zhòu
冠	guàn
刹	chà
剃	tì
削	xuē
前	qián
剌	lá
克	kè
则	zé
勇	yǒng
勉	miǎn
勃	bó
劲	jìn
匍	pú
南	nán
却	què
厚	hòu
叛	pàn
咬	yǎo
哀	āi
咨	zī
哎	āi
哉	zāi
咸	xián
咦	yí
咳	ké
哇	wā
哂	shěn
咽	yàn
咪	mī
品	pǐn
哄	hǒng
哈	hā
咯	kǎ
咫	zhǐ
咱	zán
咻	xiū
咩	miē
咧	liē
咿	yī
囿	yòu
垂	chuí
型	xíng
垠	yín
垣	yuán
垢	gòu
城	chéng
垮	kuǎ
垓	gāi
奕	yì
契	qì
奏	zòu
奎	kuí
奂	huàn
姜	jiāng
姘	pīn
姿	zī
姣	jiāo
姨	yí
娃	wá
姥	lǎo
侄	zhí
姚	yáo
奸	jiān
威	wēi
姻	yīn
孩	hái
宣	xuān
宦	huàn
室	shì
客	kè
宥	yòu
封	fēng
屎	shǐ
屏	píng
尸	shī
屋	wū
峙	zhì
峒	tóng
巷	xiàng
帝	dì
帅	shuài
帟	yì
幽	yōu
庠	xiáng
度	dù
建	jiàn
弈	yì
弭	mǐ
彦	yàn
很	hěn
待	dài
徊	huái
律	lǜ
徇	xún
后	hòu
徉	yáng
怒	nù
思	sī
怠	dài
急	jí
怎	zěn
怨	yuàn
恍	huǎng
恰	qià
恨	hèn
恢	huī
恒	héng
恃	shì
恬	tián
恫	dòng
恪	kè
恤	xù
扁	biǎn
拜	bài
挖	wā
按	àn
拼	pīn
拭	shì
持	chí
拮	jié
拽	zhuāi
指	zhǐ
拱	gǒng
拷	kǎo
拯	zhěng
括	kuò
拾	shí
拴	shuān
挑	tiǎo
挂	guà
政	zhèng
故	gù
斫	zhuó
施	shī
既	jì
春	chūn
昭	zhāo
映	yìng
昧	mèi
是	shì
星	xīng
昨	zuó
昱	yù
呤	líng
曷	hé
柿	shì
染	rǎn
柱	zhù
柔	róu
某	mǒu
柬	jiǎn
架	jià
枯	kū
栅	zhà
柩	jiù
柯	kē
柄	bǐng
柑	gān
拐	guǎi
柚	yòu
查	chá
枸	gǒu
柏	bǎi
柞	zuò
柳	liǔ
枰	píng
柙	xiá
柢	dǐ
柝	tuò
柒	qī
歪	wāi
殃	yāng
殆	dài
段	duàn
毒	dú
毗	pí
氟	fú
泉	quán
洋	yáng
洲	zhōu
洪	hóng
流	liú
津	jīn
洌	liè
洱	ěr
洞	dòng
洗	xǐ
活	huó
洽	qià
派	pài
汹	xiōng
洛	luò
泵	bèng
洹	huán
洧	wěi
咣	guāng
泄	xiè
洮	yáo
洵	xún
洎	jì
洫	xù
炫	xuàn
为	wéi
炳	bǐng
炬	jù
炯	jiǒng
炭	tàn
炸	zhá
炮	pào
照	zhào
爰	yuán
牲	shēng
牯	gǔ
抵	dǐ
狩	shòu
狠	hěn
狡	jiǎo
玷	diàn
珊	shān
玻	bō
玲	líng
珍	zhēn
珀	pò
玳	dài
甚	shèn
甭	béng
畏	wèi
界	jiè
畎	quǎn
畋	tián
疫	yì
疤	bā
疥	jiè
疢	chèn
疣	yóu
癸	guǐ
皆	jiē
皇	huáng
皈	guī
盈	yíng
盆	pén
杯	bēi
盅	zhōng
省	shěng
盹	dǔn
相	xiāng
眉	méi
看	kàn
盾	dùn
盼	pàn
眇	miǎo
矜	jīn
砂	shā
研	yán
砌	qì
砍	kǎn
祆	xiān
祉	zhǐ
祈	qí
只	zhǐ
禹	yǔ
禺	yù
科	kē
秒	miǎo
秋	qiū
穿	chuān
突	tú
竿	gān
竽	yú
籽	zǐ
纣	zhòu
红	hóng
纪	jì
纫	rèn
纥	hé
约	yuē
纡	yū
缸	gāng
美	měi
羿	yì
耄	mào
耐	nài
耍	shuǎ
端	duān
耶	yē
胖	pàng
胥	xū
胚	pēi
胃	wèi
胄	zhòu
背	bèi
胡	hú
胛	jiǎ
胎	tāi
胞	bāo
胤	yìn
胝	zhī
致	zhì
舢	shān
苎	zhù
范	fàn
茅	máo
苣	jù
苛	kē
苦	kǔ
茄	qié
若	ruò
茂	mào
茉	mò
苒	rǎn
苗	miáo
英	yīng
茁	zhuó
苜	mù
苔	tái
苑	yuàn
苞	bāo
苓	líng
苟	gǒu
苯	běn
茆	mǎo
虐	nuè
虹	hóng
虻	méng
虺	huǐ
衍	yǎn
衫	shān
要	yào
斤	jīn
计	jì
订	dìng
讣	fù
贞	zhēn
负	fù
赴	fù
赳	jiǔ
趴	pā
军	jūn
轨	guǐ
述	shù
迦	jiā
迢	tiáo
迪	dí
迥	jiǒng
迭	dié
迫	pò
迤	yǐ
迨	dài
郊	jiāo
郎	láng
郁	yù
合	hé
酋	qiú
酊	dīng
重	zhòng
闩	shuān
限	xiàn
陋	lòu
陌	mò
降	jiàng
面	miàn
革	gé
韦	wéi
韭	jiǔ
音	yīn
页	yè
风	fēng
飞	fēi
食	shí
首	shǒu
香	xiāng
乘	chéng
亳	bò
倌	guān
倍	bèi
仿	fǎng
俯	fǔ
倦	juàn
倥	kǒng
俸	fèng
倩	qiàn
幸	xìng
俩	liǎng
值	zhí
借	jiè
倚	yǐ
倒	dào
们	men
俺	ǎn
伥	chāng
倔	jué
倨	jù
俱	jū
倡	chāng
个	gè
候	hòu
倘	tǎng
俳	pái
修	xiū
倭	wō
倪	ní
俾	bì
伦	lún
仓	cāng
兼	jiān
冤	yuān
冥	míng
冢	zhǒng
冻	dòng
凌	líng
准	zhǔn
凋	diāo
剖	pǒ
剜	wān
剔	tī
刚	gāng
剥	bō
匪	fěi
卿	qīng
原	yuán
厝	cuò
叟	sǒu
哨	shào
唐	táng
唁	yàn
唷	yō
哼	hēng
哥	gē
哲	zhé
唆	suō
哺	bǔ
唔	wú
哩	lī
哭	kū
员	yuán
唉	āi
哮	xiāo
哪	nǎ
哦	é
唧	jī
唇	chún
哽	gěng
唏	xī
圃	pǔ
圄	yǔ
埂	gěng
埔	pǔ
埋	mái
埃	āi
堉	yù
夏	xià
套	tào
奘	zhuǎng
奚	xī
娑	suō
娘	niáng
娜	nuó
娟	juān
娱	yú
娓	wěi
姬	jī
娠	chén
娣	dì
娩	miǎn
娥	é
娌	lǐ
娉	pīng
孙	sūn
屘	mǎn
宰	zǎi
害	hài
家	jiā
宴	yàn
宫	gōng
宵	xiāo
容	róng
宸	chén
射	shè
屑	xiè
展	zhǎn
屐	jī
峭	qiào
峡	xiá
峻	jùn
峪	yù
峨	é
峰	fēng
岛	dǎo
嵌	kǎn
岘	xiàn
差	chā
席	xí
师	shī
库	kù
庭	tíng
座	zuò
弱	ruò
徒	tú
径	jìng
徐	xú
恙	yàng
恣	zì
耻	chǐ
恐	kǒng
恕	shù
恭	gōng
恩	ēn
息	xí
悄	qiǎo
悟	wù
悚	sǒng
悍	hàn
悔	huǐ
悌	tì
悦	yuè
悖	bèi
扇	shàn
拳	quán
挈	qiè
拿	ná
捎	shāo
挟	xiá
振	zhèn
捕	bǔ
捂	wǔ
捆	kǔn
捏	niē
捉	zhuō
挺	tǐng
捐	juān
挽	wǎn
挪	nuó
挫	cuò
挨	āi
捍	hàn
捌	bā
效	xiào
敉	mǐ
料	liào
旁	páng
旅	lǚ
时	shí
晋	jìn
晏	yàn
晃	huǎng
晒	shài
晌	shǎng
晅	xuān
晁	cháo
书	shū
朔	shuò
朕	zhèn
朗	lǎng
校	xiào
核	hé
案	àn
框	kuāng
桓	huán
根	gēn
桂	guì
桔	jú
栩	xǔ
梳	shū
栗	lì
桌	zhuō
桑	sāng
栽	zāi
柴	chái
桐	tóng
桀	jié
格	gé
桃	táo
株	zhū
桅	wéi
栓	shuān
移	yí
桁	héng
殊	shū
殉	xùn
殷	yīn
气	qì
氧	yǎng
氨	ān
氦	hài
氤	yīn
泰	tài
浪	làng
涕	tì
消	xiāo
泾	jīng
浦	pǔ
浸	jìn
海	hǎi
浙	zhè
涓	juān
里	lǐ
涉	shè
浮	fú
浚	jùn
浴	yù
浩	hào
涌	yǒng
涊	niǎn
浃	jiá
涅	niè
邑	yì
涔	cén
烊	yáng
烘	hōng
烤	kǎo
烙	lào
烈	liè
乌	wū
爹	diē
特	tè
狼	láng
狭	xiá
狈	bèi
狸	lí
狷	juàn
兹	zī
班	bān
琉	liú
佩	pèi
珠	zhū
硅	guī
珞	luò
畔	pàn
亩	mǔ
畜	chù
畚	běn
留	liú
疾	jí
病	bìng
症	zhèng
疲	pí
疳	gān
疽	jū
疼	téng
疹	zhěn
痂	jiā
疸	dǎn
皋	gāo
疱	pào
益	yì
盍	hé
盎	àng
眩	xuàn
真	zhēn
眠	mián
眨	zhǎ
矩	jǔ
砰	pēng
砧	zhēn
砸	zá
砝	fá
破	pò
砷	shēn
砥	dǐ
砭	biān
砠	qū
砟	zhǎ
炮	pào
秘	mì
佑	yòu
祠	cí
祟	suì
祖	zǔ
神	shén
祝	zhù
祗	zhī
祚	zuò
秤	chèng
秣	mò
秧	yāng
租	zū
秦	qín
秩	zhì
秘	mì
窄	zhǎi
窈	yǎo
站	zhàn
笆	bā
笑	xiào
粉	fěn
纺	fǎng
纱	shā
纹	wén
